OWNER_CIK,OWNER_NAME,Weighted_Return_6M,Weighted_Return_1Y,Weighted_Return_18M,Weighted_SP500_6M,Weighted_SP500_1Y,Weighted_SP500_18M,Weighted_Sector_6M,Weighted_Sector_1Y,Weighted_Sector_18M,Return_vs_SP500_6M,Return_vs_SP500_1Y,Return_vs_SP500_18M,Return_vs_Sector_6M,Return_vs_Sector_1Y,Return_vs_Sector_18M,Avg_Transaction_Value,Total_Transaction_Value,Transaction_Count,Number_of_Companies,Most_Common_Company,Most_Active_Sector,Most_Common_Company_Cap_Category,Earliest_Transaction_Year,Most_Recent_Transaction_Year,Unique_Transaction_Years
1256476,COPELAND JAMES E JR,-0.04,-0.09,0.18,0.06,0.14,0.30,0.12,0.01,0.14,-0.10,-0.23,-0.12,-0.16,-0.10,0.04,496750,496750,1,1,COP,Energy,Large Cap,2016,2016,1
1256632,SATTERLEE SCOTT,56100000000000000.00,66100000000000000.00,58000000000000000.00,0.18,0.24,0.34,0.17,0.27,0.36,56100000000000000.00,66100000000000000.00,58000000000000000.00,56100000000000000.00,66100000000000000.00,58000000000000000.00,55050,110100,2,1,FAST,Industrials,Large Cap,2016,2016,1
1256634,SHORT BRIAN,-0.05,0.01,0.04,0.15,0.20,0.14,0.16,0.17,0.13,-0.20,-0.19,-0.11,-0.20,-0.17,-0.10,5159.09,25795.45,5,1,CHRW,Industrials,Large Cap,2020,2021,2
1256987,GREGOR JOIE A,-0.26,-0.08,0.07,0.02,-0.04,0.20,0.07,0.04,0.17,-0.28,-0.04,-0.13,-0.33,-0.12,-0.10,299900,299900,1,1,CAG,Consumer Staples,Large Cap,2019,2019,1
1257061,DE BALMANN YVES C,-0.12,0.37,1.36,0.10,0.16,0.39,0.05,-0.09,0.09,-0.22,0.21,0.97,-0.17,0.46,1.27,6922.77,6922.77,1,1,CEG,Utilities,Large Cap,2022,2022,1
1257094,BURNS STEPHANIE,-0.19,-0.20,-0.13,-0.18,-0.20,-0.09,-0.25,-0.31,-0.03,-0.01,0.00,-0.04,0.06,0.11,-0.10,1991.615,3983.23,2,1,GLW,Information Technology,Large Cap,2021,2022,2
1257287,DRISCOLL JOHN PATRICK,-0.15,-0.60,-0.68,0.07,0.23,0.00,-0.02,0.05,0.00,-0.22,-0.83,-0.68,-0.13,-0.65,-0.68,146988.24,146988.24,1,1,WBA,Consumer Staples,Mid Cap,2023,2023,1
1257864,GARDEN EDWARD P,29692039.10,28728437.20,28726557.01,0.05,0.09,0.16,0.05,0.10,0.17,29692039.05,28728437.12,28726556.85,29692039.05,28728437.10,28726556.84,9135206.286,301461807.5,33,2,PNR,Industrials,Large Cap,2015,2018,4
1258391,STEPHENS JOHN JOSEPH,0.15,1.19,2.10,-0.01,0.14,0.34,0.06,0.20,0.40,0.16,1.05,1.76,0.09,0.99,1.70,503550,503550,1,1,FCX,Materials,Large Cap,2020,2020,1
1258704,BAUMGARTNER ROBERT V,60.41,71.34,80.20,0.04,0.09,0.21,0.08,0.12,0.14,60.37,71.25,79.99,60.33,71.22,80.06,100647.5,201295,2,1,TECH,Health Care,Large Cap,2019,2022,2
